,impressions,engagements,engagement_rate,retweets,replies,likes,profile_clicks,url_clicks,day
impressions,1.0,0.8495599886265426,0.10254444139031615,0.7645730520263974,0.2042841856154607,0.7618778027911138,0.6526623017305211,0.6007145025368665,-0.23267971508810067
engagements,0.8495599886265426,1.0,0.4419814675860421,0.8902423199291873,0.20950060721422206,0.8607189250965562,0.7504905417402753,0.816986659488427,-0.20421652174203794
engagement_rate,0.10254444139031615,0.4419814675860421,1.0,0.35776464550013415,0.06322552128159745,0.36009466824856057,0.36023580065754596,0.36092405296711033,-0.08834424657276124
retweets,0.7645730520263974,0.8902423199291873,0.35776464550013415,1.0,0.1897105696627739,0.8370256148885604,0.5754390595363273,0.6887117126182047,-0.21015933769636047
replies,0.2042841856154607,0.20950060721422206,0.06322552128159745,0.1897105696627739,1.0,0.2541909194842707,0.09110293696248961,0.033543360180714785,-0.026115752479210805
likes,0.7618778027911138,0.8607189250965562,0.36009466824856057,0.8370256148885604,0.2541909194842707,1.0,0.5642172252063734,0.5119595484435221,-0.1614057065115727
profile_clicks,0.6526623017305211,0.7504905417402753,0.36023580065754596,0.5754390595363273,0.09110293696248961,0.5642172252063734,1.0,0.5700273068836219,-0.12123410211985687
url_clicks,0.6007145025368665,0.816986659488427,0.36092405296711033,0.6887117126182047,0.033543360180714785,0.5119595484435221,0.5700273068836219,1.0,-0.18985167343084455
day,-0.23267971508810067,-0.20421652174203794,-0.08834424657276124,-0.21015933769636047,-0.026115752479210805,-0.1614057065115727,-0.12123410211985687,-0.18985167343084455,1.0
