id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1286347174616477696,1286347174616477696,2020-07-23 19:07:20 ora legale Europa occidentale,2020-07-23,19:07:20,+0200,1170404948,adhorg,ADHO,,Our statement is available here:  https://t.co/YyQ8nxGRYx,en,[],['https://adho.org/blm-structuralracism-establishmentviolence'],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1286347174616477696,False,https://twitter.com/quinnanya/status/1286346785770868736,0,,,,,,,,[],,,,
1286315624365424641,1286315624365424641,2020-07-23 17:01:58 ora legale Europa occidentale,2020-07-23,17:01:58,+0200,1170404948,adhorg,ADHO,,#DH2020 ACH Annual General Meeting will begin at 12:30 PM EDT today. More information available here:  https://t.co/H4tuPwxhv0,en,[],['https://hcommons.org/groups/dh2020/events/ach-annual-general-meeting/'],[],0,0,1,['dh2020'],[],https://twitter.com/ADHOrg/status/1286315624365424641,False,,0,,,,,,,,[],,,,
1286300560501739521,1286300560501739521,2020-07-23 16:02:06 ora legale Europa occidentale,2020-07-23,16:02:06,+0200,1170404948,adhorg,ADHO,,#DH2020 Be sure to check in on what is sure to be a fascinating discussion on digitizing and curating colonial records from the Caribbean and Central and South America for public outreach at 11AM EDT:  https://t.co/HmbpPlKnhZ,en,[],['https://hcommons.org/groups/dh2020/events/digitizing-and-curating-colonial-records-from-the-caribbean-and-central-and-south-america-for-public-outreach/'],[],0,1,5,['dh2020'],[],https://twitter.com/ADHOrg/status/1286300560501739521,False,,0,,,,,,,,[],,,,
1286269278132592640,1286269278132592640,2020-07-23 13:57:48 ora legale Europa occidentale,2020-07-23,13:57:48,+0200,1170404948,adhorg,ADHO,,"#DH2020 We've had some great conversations on @humcommons and in forums &amp; workshops this week! If you're just joining in or want to be able to access the virtual conference later, here's how it will be available:  https://t.co/SEPdp33wWo",en,"[{'screen_name': 'humcommons', 'name': 'humanities commons', 'id': '3035264968'}]",['https://dh2020.hcommons.org/2020/07/22/after-the-conference/'],[],0,8,10,['dh2020'],[],https://twitter.com/ADHOrg/status/1286269278132592640,False,,0,,,,,,,,[],,,,
1285968338024386561,1285968338024386561,2020-07-22 18:01:58 ora legale Europa occidentale,2020-07-22,18:01:58,+0200,1170404948,adhorg,ADHO,,#DH2020 Come join ADHO in gaining a better understanding of how the organization functions and its various parts in our synchronous session today at 1PM EDT. More information available here:  https://t.co/jY0hVe3Gy8  https://t.co/xtIf92flfz,en,[],"['https://dh2020.hcommons.org/conference-events/', 'https://hcommons.org/groups/dh2020/events/forum-demystifying-adho-the-alliance-of-digital-humanities-organizations/']",[],0,6,12,['dh2020'],[],https://twitter.com/ADHOrg/status/1285968338024386561,False,,0,,,,,,,,[],,,,
1285957146702680065,1285942611241508864,2020-07-22 17:17:30 ora legale Europa occidentale,2020-07-22,17:17:30,+0200,1170404948,adhorg,ADHO,,"@mspillar10 @Jarona7 @humcommons Yes, all presentation abstracts (including those that were originally submitted and accepted but not presented in the virtual #DH2020) are available here:  https://t.co/W1jaRpS7Be",en,[],['http://dh2020.adho.org/abstracts/'],[],0,0,3,['dh2020'],[],https://twitter.com/ADHOrg/status/1285957146702680065,False,,0,,,,,,,,"[{'screen_name': 'mspillar10', 'name': 'Cecilia Pitta', 'id': '164877642'}, {'screen_name': 'Jarona7', 'name': 'Jack Orchard', 'id': '763415964'}, {'screen_name': 'humcommons', 'name': 'Humanities Commons', 'id': '3035264968'}]",,,,
1285953181890031617,1285953181890031617,2020-07-22 17:01:45 ora legale Europa occidentale,2020-07-22,17:01:45,+0200,1170404948,adhorg,ADHO,,#DH2020 Feedback in the Discussion Forums has led to some amazing discussions. Grateful for all the people taking time out to help one another. Still time to register if you haven’t yet:  https://t.co/dKPtSkkTdy,en,[],['https://dh2020.hcommons.org/register-for-the-conference/'],[],0,0,0,['dh2020'],[],https://twitter.com/ADHOrg/status/1285953181890031617,False,,0,,,,,,,,[],,,,
1285946812256452609,1285942611241508864,2020-07-22 16:36:26 ora legale Europa occidentale,2020-07-22,16:36:26,+0200,1170404948,adhorg,ADHO,,@Jarona7 We'll have more information to share about this by tomorrow. The short answer is: everything in the @humcommons group will still be available after July 24 for those registered for the conference. Book of Abstracts will be publicly available indefinitely:  https://t.co/33eY8XDcy2,en,"[{'screen_name': 'humcommons', 'name': 'humanities commons', 'id': '3035264968'}]",['https://dh2020.adho.org/abstracts/'],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1285946812256452609,False,,0,,,,,,,,"[{'screen_name': 'Jarona7', 'name': 'Jack Orchard', 'id': '763415964'}]",,,,
1285928101021716481,1285928101021716481,2020-07-22 15:22:05 ora legale Europa occidentale,2020-07-22,15:22:05,+0200,1170404948,adhorg,ADHO,,#DH2020 We have just updated our Conference Code of Conduct with detailed reporting guidelines and added transparency about the review process:  https://t.co/6lgHN6zipr,en,[],['https://dh2020.hcommons.org/conference-code-of-conduct/'],[],0,4,9,['dh2020'],[],https://twitter.com/ADHOrg/status/1285928101021716481,False,,0,,,,,,,,[],,,,
1285924963522936832,1285896638645579776,2020-07-22 15:09:37 ora legale Europa occidentale,2020-07-22,15:09:37,+0200,1170404948,adhorg,ADHO,,@cantavest @humcommons The Humanities Commons admins have just changed the number of discussion topics visible on a single page to 50. Hope this helps!,en,[],[],[],1,0,4,[],[],https://twitter.com/ADHOrg/status/1285924963522936832,False,,0,,,,,,,,"[{'screen_name': 'cantavest', 'name': 'Rosanna Cantavella', 'id': '233107654'}, {'screen_name': 'humcommons', 'name': 'Humanities Commons', 'id': '3035264968'}]",,,,
1285867207063412737,1285867207063412737,2020-07-22 11:20:07 ora legale Europa occidentale,2020-07-22,11:20:07,+0200,1170404948,adhorg,ADHO,,"#DH2020 The AVinDH SIG is hosting a workshop, ""AudiAnnotate: Workflows for generating audio IIIF manifests"" today (Wednesday) at 11:00AM EDT | 3:00PM UTC - find out more:  https://t.co/eglZEal0Rn",en,[],['https://hipstas.github.io/AudiAnnotate/workshop.html'],[],0,1,6,['dh2020'],[],https://twitter.com/ADHOrg/status/1285867207063412737,False,,0,,,,,,,,[],,,,
1285755200054136836,1285755200054136836,2020-07-22 03:55:02 ora legale Europa occidentale,2020-07-22,03:55:02,+0200,1170404948,adhorg,ADHO,,Welcome aboard @CecilyRaynor!,en,"[{'screen_name': 'cecilyraynor', 'name': 'cecily raynor', 'id': '4009999396'}]",[],[],0,1,10,[],[],https://twitter.com/ADHOrg/status/1285755200054136836,False,https://twitter.com/CecilyRaynor/status/1285738372284256257,0,,,,,,,,[],,,,
1285686004301561857,1285686004301561857,2020-07-21 23:20:04 ora legale Europa occidentale,2020-07-21,23:20:04,+0200,1170404948,adhorg,ADHO,,#DH2020 Note that the workshop for Understanding and Facilitating Collaboration in DH 2020 will begin Thursday at 9AM EDT not 3PM EDT as listed on the events page:  https://t.co/FtZulCMnZM,en,[],['https://hcommons.org/groups/dh2020/events/workshop-twin-talks-3-understanding-and-facilitating-collaboration-in-dh/'],[],0,0,5,['dh2020'],[],https://twitter.com/ADHOrg/status/1285686004301561857,False,,0,,,,,,,,[],,,,
1285641454614974464,1285641454614974464,2020-07-21 20:23:03 ora legale Europa occidentale,2020-07-21,20:23:03,+0200,1170404948,adhorg,ADHO,,#DH2020 There has been confusion about the private group calendar. Please note that all the times listed are EDT:  https://t.co/bnnBVS4pNt,en,[],['https://hcommons.org/groups/dh2020/events/'],[],0,0,2,['dh2020'],[],https://twitter.com/ADHOrg/status/1285641454614974464,False,,0,,,,,,,,[],,,,
1285637898264600577,1285637898264600577,2020-07-21 20:08:55 ora legale Europa occidentale,2020-07-21,20:08:55,+0200,1170404948,adhorg,ADHO,,#DH2020 A special welcome to everyone that has just joined. We are at over 1100 registered participants! Still time to register if you haven’t:  https://t.co/dKPtSkkTdy. Be sure to also sign up for the DH2020 group:  https://t.co/U1DT6ali11,en,[],"['https://dh2020.hcommons.org/register-for-the-conference/', 'https://dh2020.hcommons.org/how-to-access-the-dh2020-humanities-commons-group/']",[],0,12,25,['dh2020'],[],https://twitter.com/ADHOrg/status/1285637898264600577,False,,0,,,,,,,,[],,,,
