,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,is_retweet,retweeted,mentioned
325,1242503812683673602,1242212009346830337,2020-03-24 18:29:28 ora solare Europa occidentale,2020-03-24,18:29:28,200,1170404948,adhorg,ADHO,,"@alackthereof At the moment, #dh2021 is scheduled for July.",en,[],[],[],1,0,0,['#dh2021'],[],https://twitter.com/ADHOrg/status/1242503812683673602,False,,0,,,,,,,,"[{'screen_name': 'alackthereof', 'name': 'holly.', 'id': '326193967'}]",,,,,False,[],['@alackthereof']
326,1238206449794158592,1238206449794158592,2020-03-12 21:53:17 ora solare Europa occidentale,2020-03-12,21:53:17,200,1170404948,adhorg,ADHO,,"We have just published a brief statement about @DH2020_Ottawa and COVID-19:  https://t.co/US7fbfYYbe. This is an ongoing situation and we will provide additional updates by 1 May. Be well, everyone! #dh2020",en,"[{'screen_name': 'dh2020_ottawa', 'name': 'dh2020@ottawa', 'id': '1144313728357326849'}]",['http://adho.org/announcements/2020/adho-statement-dh2020-and-covid-19'],[],2,34,29,['#dh2020'],[],https://twitter.com/ADHOrg/status/1238206449794158592,False,,0,,,,,,,,[],,,,,False,[],['@DH2020_Ottawa']
327,1235147221613416448,1235147221613416448,2020-03-04 11:17:00 ora solare Europa occidentale,2020-03-04,11:17:00,200,1170404948,adhorg,ADHO,,Talinn University in Estonia seeks 5 research fellows in Cultural Data Analytics.  https://t.co/OlAyN3EpS8,en,[],['http://cudan.tlu.ee/positions/'],[],0,6,7,[],[],https://twitter.com/ADHOrg/status/1235147221613416448,False,,0,,,,,,,,[],,,,,False,[],[]
328,1235133128752222209,1235133128752222209,2020-03-04 10:21:00 ora solare Europa occidentale,2020-03-04,10:21:00,200,1170404948,adhorg,ADHO,,Purdue University is hosting a 4-day digital humanities workshop from 26-29 May 2020. Participation in the workshop is free to attendees. Interested? Head to the application!  https://t.co/JohPcBSHJi,en,[],['https://docs.google.com/forms/d/e/1FAIpQLSeJJSW08jloyOKkmgXg9PKhqHPIj6-OaYz67U66aeEdmSw9Yw/viewform'],[],0,4,1,[],[],https://twitter.com/ADHOrg/status/1235133128752222209,False,,0,,,,,,,,[],,,,,False,[],[]
329,1234945750292811776,1234945750292811776,2020-03-03 21:56:25 ora solare Europa occidentale,2020-03-03,21:56:25,200,1170404948,adhorg,ADHO,,Pomona College is soliciting applications for the Director for Research Computing and Digital Scholarship.  https://t.co/yVN1l8ignQ,en,[],['https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/POM_Careers/job/Claremont/Director--Research-Computing-and-Digital-Scholarship_REQ-2399'],[],0,3,2,[],[],https://twitter.com/ADHOrg/status/1234945750292811776,False,,0,,,,,,,,[],,,,,False,[],[]
330,1233432518826680330,1233432518826680330,2020-02-28 17:43:23 ora solare Europa occidentale,2020-02-28,17:43:23,200,1170404948,adhorg,ADHO,,Please consider nominating yourself or a colleague to one of the three open ADHO positions! Nominations due on 1 March.  https://t.co/pyMHOTInon,en,[],['http://adho.org/announcements/2020/join-adho-executive-board-and-committees'],[],0,3,1,[],[],https://twitter.com/ADHOrg/status/1233432518826680330,False,,0,,,,,,,,[],,,,,False,[],[]
331,1232341239866880000,1232341239866880000,2020-02-25 17:27:02 ora solare Europa occidentale,2020-02-25,17:27:02,200,1170404948,adhorg,ADHO,,Please nominate yourself or one of your colleagues to serve in one of these roles at @ADHOrg! Nominations due on 1 March!,en,"[{'screen_name': 'adhorg', 'name': 'adho', 'id': '1170404948'}]",[],[],0,5,3,[],[],https://twitter.com/ADHOrg/status/1232341239866880000,False,https://twitter.com/ADHOrg/status/1227517950627848192,0,,,,,,,,[],,,,,False,[],['@ADHOrg']
332,1232341024296468480,1232341024296468480,2020-02-25 17:26:10 ora solare Europa occidentale,2020-02-25,17:26:10,200,1170404948,adhorg,ADHO,,A reminder: applications for the 2020 ADHO Communications Fellowships are due on 1 March.,en,[],[],[],0,2,1,[],[],https://twitter.com/ADHOrg/status/1232341024296468480,False,https://twitter.com/ADHOrg/status/1227333493476200449,0,,,,,,,,[],,,,,False,[],[]
333,1227521221954359297,1227521221954359297,2020-02-12 10:14:00 ora solare Europa occidentale,2020-02-12,10:14:00,200,1170404948,adhorg,ADHO,,ADHO invites applications for its two 2020 Communications Fellowships. Help us tell the world about what ADHO does! Each fellowship comes with a €500 stipend. Applications due 1 March.   https://t.co/gFwMMWL96f  https://t.co/rPvuPpBK7h,en,[],['http://adho.org/announcements/2020/2020-adho-communications-fellowships'],['https://pbs.twimg.com/media/EQheLZeU8AAUNCp.jpg'],0,4,3,[],[],https://twitter.com/ADHOrg/status/1227521221954359297,False,,1,https://pbs.twimg.com/media/EQheLZeU8AAUNCp.jpg,,,,,,,[],,,,,False,[],[]
334,1227517950627848192,1227517950627848192,2020-02-12 10:01:00 ora solare Europa occidentale,2020-02-12,10:01:00,200,1170404948,adhorg,ADHO,,ADHO is seeking nominations for   • Deputy Treasurer • Communications Officer • Infrastructure Committee Chair  Help us expand digital humanities work across the globe! Nominations due 1 March 2020.    https://t.co/pyMHOTqMwP,en,[],['http://adho.org/announcements/2020/join-adho-executive-board-and-committees'],[],0,12,9,[],[],https://twitter.com/ADHOrg/status/1227517950627848192,False,,0,,,,,,,,[],,,,,False,[],[]
335,1227333493476200449,1227333493476200449,2020-02-11 21:48:02 ora solare Europa occidentale,2020-02-11,21:48:02,200,1170404948,adhorg,ADHO,,ADHO invites applications for its two 2020 Communications Fellowships. Help us tell the world about what ADHO does! Each fellowship comes with a €500 stipend. Applications due 1 March.   https://t.co/gFwMMWL96f,en,[],['http://adho.org/announcements/2020/2020-adho-communications-fellowships'],[],0,18,15,[],[],https://twitter.com/ADHOrg/status/1227333493476200449,False,,0,,,,,,,,[],,,,,False,[],[]
