day_name,day,count,mean
Monday,0,22,2326.3636363636365
Tuesday,1,22,1921.3636363636363
Wednesday,2,22,3181.590909090909
Thursday,3,22,3660.909090909091
Friday,4,22,2397.090909090909
Saturday,5,21,930.8571428571429
Sunday,6,21,755.7619047619048
